"drink_id","drink_name","base","temperature","size","milk","syrup","sweetness_level","espresso_shots","caffeine_level","calories","price","dietary_tags","flavor_profile"
"DRK-0001","Short Hot Unsweetened Whole Latte with No Syrup","Latte","hot","short","whole","none","unsweetened","2","medium","140","4.25","vegetarian,nut-free,no-added-sugar","creamy espresso, rich dairy, unsweetened, dry"
"DRK-0002","Short Iced Unsweetened No Milk Cold Brew with No Syrup","Cold Brew","iced","short","none","none","unsweetened","0","high","5","4.45","dairy-free,vegan,nut-free,low-calorie,no-added-sugar","bold smooth coffee, no milk, unsweetened, dry"
"DRK-0003","Short Hot Unsweetened Nonfat Mocha with No Syrup","Mocha","hot","short","nonfat","none","unsweetened","2","medium","180","4.85","vegetarian,low-fat,nut-free,no-added-sugar","chocolate espresso, light dairy, unsweetened, dry"
"DRK-0004","Short Hot Unsweetened Oat Matcha Latte with No Syrup","Matcha Latte","hot","short","oat","none","unsweetened","0","medium","180","5.45","dairy-free,vegan,nut-free,no-added-sugar","earthy green tea, toasty oat, unsweetened, dry"
"DRK-0005","Short Hot Unsweetened Almond Chai Latte with No Syrup","Chai Latte","hot","short","almond","none","unsweetened","0","medium","135","5.15","dairy-free,vegan,no-added-sugar","spiced black tea, nutty almond, unsweetened, dry"
"DRK-0006","Short Hot Unsweetened No Milk Americano with Vanilla","Americano","hot","short","none","vanilla","unsweetened","2","medium","5","4.05","dairy-free,vegan,nut-free,low-calorie,no-added-sugar","clean espresso, no milk, vanilla, dry"
"DRK-0007","Short Hot Unsweetened Coconut Cappuccino with Vanilla","Cappuccino","hot","short","coconut","vanilla","unsweetened","2","medium","95","5.45","dairy-free,vegan,low-calorie,no-added-sugar","foamy espresso, tropical coconut, vanilla, dry"
"DRK-0008","Tall Blended Unsweetened Whole Frappuccino with Vanilla","Frappuccino","blended","tall","whole","vanilla","unsweetened","0","low","325","6.55","vegetarian,nut-free,no-added-sugar","sweet blended coffee, rich dairy, vanilla, dry"
"DRK-0009","Tall Iced Unsweetened No Milk Refresher with Vanilla","Refresher","iced","tall","none","vanilla","unsweetened","0","low","90","5.45","dairy-free,vegan,nut-free,low-calorie,no-added-sugar","bright fruit, no milk, vanilla, dry"
"DRK-0010","Tall Hot Unsweetened No Milk Herbal Tea with Vanilla","Herbal Tea","hot","tall","none","vanilla","unsweetened","0","none","10","4.35","dairy-free,vegan,nut-free,low-calorie,no-added-sugar","calm botanical, no milk, vanilla, dry"
"DRK-0011","Tall Iced Unsweetened Oat Latte with Caramel","Latte","iced","tall","oat","caramel","unsweetened","2","medium","165","6.05","dairy-free,vegan,nut-free,no-added-sugar","creamy espresso, toasty oat, buttery caramel, dry"
"DRK-0012","Tall Iced Unsweetened Whole Cold Brew with Caramel","Cold Brew","iced","tall","whole","caramel","unsweetened","0","high","65","5.55","vegetarian,nut-free,low-calorie,no-added-sugar","bold smooth coffee, rich dairy, buttery caramel, dry"
"DRK-0013","Tall Iced Unsweetened Whole Mocha with Caramel","Mocha","iced","tall","whole","caramel","unsweetened","2","medium","275","5.95","vegetarian,nut-free,no-added-sugar","chocolate espresso, rich dairy, buttery caramel, dry"
"DRK-0014","Tall Iced Light Whole Matcha Latte with Caramel","Matcha Latte","iced","tall","whole","caramel","light","0","medium","265","5.85","vegetarian,nut-free","earthy green tea, rich dairy, buttery caramel, lightly sweet"
"DRK-0015","Grande Iced Light Whole Chai Latte with Caramel","Chai Latte","iced","grande","whole","caramel","light","0","medium","320","6.1","vegetarian,nut-free","spiced black tea, rich dairy, buttery caramel, lightly sweet"
"DRK-0016","Grande Iced Light No Milk Americano with Hazelnut","Americano","iced","grande","none","hazelnut","light","2","medium","95","5.1","dairy-free,vegan,nut-free,low-calorie","clean espresso, no milk, toasted hazelnut, lightly sweet"
"DRK-0017","Grande Iced Light Whole Cappuccino with Hazelnut","Cappuccino","iced","grande","whole","hazelnut","light","2","medium","235","5.8","vegetarian,nut-free","foamy espresso, rich dairy, toasted hazelnut, lightly sweet"
"DRK-0018","Grande Blended Light Whole Frappuccino with Hazelnut","Frappuccino","blended","grande","whole","hazelnut","light","0","low","405","7.1","vegetarian,nut-free","sweet blended coffee, rich dairy, toasted hazelnut, lightly sweet"
"DRK-0019","Grande Iced Light No Milk Refresher with Raspberry","Refresher","iced","grande","none","raspberry","light","0","low","170","6","dairy-free,vegan,nut-free","bright fruit, no milk, berry, lightly sweet"
"DRK-0020","Grande Iced Light No Milk Herbal Tea with Hazelnut","Herbal Tea","iced","grande","none","hazelnut","light","0","none","90","4.9","dairy-free,vegan,nut-free,low-calorie","calm botanical, no milk, toasted hazelnut, lightly sweet"
"DRK-0021","Grande Blended Light Whole Latte with Mocha","Latte","blended","grande","whole","mocha","light","2","medium","265","5.9","vegetarian,nut-free","creamy espresso, rich dairy, cocoa, lightly sweet"
"DRK-0022","Venti Blended Light Whole Cold Brew with Mocha","Cold Brew","blended","venti","whole","mocha","light","0","high","200","6.55","vegetarian,nut-free","bold smooth coffee, rich dairy, cocoa, lightly sweet"
"DRK-0023","Venti Blended Light 2% Mocha with Mocha","Mocha","blended","venti","2%","mocha","light","3","medium","390","6.95","vegetarian,nut-free","chocolate espresso, classic dairy, cocoa, lightly sweet"
"DRK-0024","Venti Blended Light 2% Matcha Latte with Mocha","Matcha Latte","blended","venti","2%","mocha","light","0","medium","340","6.85","vegetarian,nut-free","earthy green tea, classic dairy, cocoa, lightly sweet"
"DRK-0025","Venti Blended Light 2% Chai Latte with Mocha","Chai Latte","blended","venti","2%","mocha","light","0","medium","350","6.55","vegetarian,nut-free","spiced black tea, classic dairy, cocoa, lightly sweet"
"DRK-0026","Venti Blended Light No Milk Americano with White Mocha","Americano","blended","venti","none","white mocha","light","3","medium","160","5.65","dairy-free,vegan,nut-free","clean espresso, no milk, white chocolate, lightly sweet"
"DRK-0027","Venti Hot Classic 2% Cappuccino with White Mocha","Cappuccino","hot","venti","2%","white mocha","classic","3","medium","335","6.35","vegetarian,nut-free","foamy espresso, classic dairy, white chocolate, balanced sweet"
"DRK-0028","Venti Blended Classic 2% Frappuccino with White Mocha","Frappuccino","blended","venti","2%","white mocha","classic","0","low","505","7.65","vegetarian,nut-free","sweet blended coffee, classic dairy, white chocolate, balanced sweet"
"DRK-0029","Short Blended Classic No Milk Refresher with Raspberry","Refresher","blended","short","none","raspberry","classic","0","low","125","4.95","dairy-free,vegan,nut-free","bright fruit, no milk, berry, balanced sweet"
"DRK-0030","Short Iced Classic No Milk Herbal Tea with No Syrup","Herbal Tea","iced","short","none","none","classic","0","none","5","3.25","dairy-free,vegan,nut-free,low-calorie,no-added-sugar","calm botanical, no milk, unsweetened, balanced sweet"
"DRK-0031","Short Hot Classic 2% Latte with Brown Sugar","Latte","hot","short","2%","brown sugar","classic","2","medium","195","4.85","vegetarian,nut-free","creamy espresso, classic dairy, brown sugar, balanced sweet"
"DRK-0032","Short Iced Classic 2% Cold Brew with Brown Sugar","Cold Brew","iced","short","2%","brown sugar","classic","0","high","85","5.05","vegetarian,nut-free,low-calorie","bold smooth coffee, classic dairy, brown sugar, balanced sweet"
"DRK-0033","Short Hot Classic 2% Mocha with Brown Sugar","Mocha","hot","short","2%","brown sugar","classic","2","medium","295","5.45","vegetarian,nut-free","chocolate espresso, classic dairy, brown sugar, balanced sweet"
"DRK-0034","Short Hot Classic Nonfat Matcha Latte with Brown Sugar","Matcha Latte","hot","short","nonfat","brown sugar","classic","0","medium","205","5.35","vegetarian,low-fat,nut-free","earthy green tea, light dairy, brown sugar, balanced sweet"
"DRK-0035","Short Hot Classic Nonfat Chai Latte with Brown Sugar","Chai Latte","hot","short","nonfat","brown sugar","classic","0","medium","215","5.05","vegetarian,low-fat,nut-free","spiced black tea, light dairy, brown sugar, balanced sweet"
"DRK-0036","Tall Hot Classic No Milk Americano with Cinnamon Dolce","Americano","hot","tall","none","cinnamon dolce","classic","2","medium","95","4.55","dairy-free,vegan,nut-free,low-calorie","clean espresso, no milk, warm cinnamon, balanced sweet"
"DRK-0037","Tall Hot Classic Nonfat Cappuccino with Cinnamon Dolce","Cappuccino","hot","tall","nonfat","cinnamon dolce","classic","2","medium","175","5.25","vegetarian,low-fat,nut-free","foamy espresso, light dairy, warm cinnamon, balanced sweet"
"DRK-0038","Tall Blended Classic Nonfat Frappuccino with Cinnamon Dolce","Frappuccino","blended","tall","nonfat","cinnamon dolce","classic","0","low","345","6.55","vegetarian,low-fat,nut-free","sweet blended coffee, light dairy, warm cinnamon, balanced sweet"
